Frame,LagCount,LagFrame,Input,XPos,XPosSmooth,XVel,XVelSmooth,XAcc,YPos,YVel,YVelSmooth,YAcc,MoveDirByte,XSpeedByte,YPageByte,PlayerState,PlayerControl,PlayerStatus,
0,0,0,........,65535.000000000,65535.000000000,-1.000000000,-0.003906250,0.000000000,255.996093750,-1.000000000,-1.000000000,0.000000000,255,0,255,255,255,255,
0,0,0,........,65535.000000000,65535.000000000,-1.000000000,-0.003906250,0.000000000,255.996093750,-1.000000000,-1.000000000,0.000000000,255,0,255,255,255,255,
1,1,1,........,65535.000000000,65535.000000000,-1.000000000,-0.003906250,0.000000000,255.996093750,-1.000000000,-1.000000000,0.000000000,255,0,255,255,255,255,
2,2,1,........,65535.000000000,65535.000000000,-1.000000000,-0.003906250,0.000000000,255.996093750,-1.000000000,-1.000000000,0.000000000,255,0,255,255,255,255,
3,3,1,........,65535.000000000,65535.000000000,-1.000000000,-0.003906250,0.000000000,255.996093750,-1.000000000,-1.000000000,0.000000000,255,0,255,255,255,255,
4,4,1,........,65535.000000000,65535.000000000,-1.000000000,-1.000000000,0.000000000,255.000000000,-1.000000000,-1.000000000,0.000000000,255,0,255,255,255,0,
5,5,1,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
6,5,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
7,6,1,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
8,7,1,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
9,7,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
10,7,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
11,7,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
12,7,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
13,7,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
14,7,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
15,7,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
16,7,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
17,7,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
18,7,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
19,7,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
20,7,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
21,7,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
22,7,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
23,7,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
24,7,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
25,7,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
26,7,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
27,7,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
28,7,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
29,7,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
30,7,0,........,0.000000000,0.039062500,0.000000000,0.000000000,0.000000000,0.113281250,0.000000000,0.996093750,0.000000000,0,0,0,0,0,0,
31,7,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
32,7,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
33,7,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
34,7,0,........,40.000000000,40.000000000,0.000000000,0.000000000,0.000000000,176.000000000,0.000000000,0.000000000,0.000000000,0,0,1,0,7,0,
35,7,0,........,40.000000000,40.000000000,0.000000000,0.000000000,0.000000000,176.000000000,0.000000000,0.000000000,0.000000000,0,0,1,0,8,0,
36,7,0,........,40.000000000,40.000000000,0.000000000,0.000000000,1.187500000,176.000000000,0.000000000,0.000000000,0.000000000,0,0,1,0,8,0,
37,7,0,........,40.000000000,40.000000000,0.000000000,0.000000000,1.187500000,176.000000000,0.000000000,0.000000000,0.000000000,0,0,1,0,8,0,
38,7,0,........,40.000000000,40.000000000,0.000000000,0.000000000,1.187500000,176.000000000,0.000000000,0.000000000,0.000000000,0,0,1,0,8,0,
39,7,0,........,40.000000000,40.000000000,0.000000000,0.000000000,1.187500000,176.000000000,0.000000000,0.000000000,0.000000000,0,0,1,0,8,0,
40,7,0,........,40.000000000,40.000000000,0.000000000,0.000000000,1.187500000,176.000000000,0.000000000,0.000000000,0.000000000,0,0,1,0,8,0,
41,7,0,........,40.000000000,40.000000000,0.000000000,0.000000000,1.187500000,176.000000000,0.000000000,0.000000000,0.000000000,0,0,1,0,8,0,
42,7,0,...T....,40.000000000,40.000000000,0.000000000,0.000000000,1.187500000,176.000000000,0.000000000,0.000000000,0.000000000,0,0,1,0,8,0,
43,7,0,........,40.000000000,40.000000000,0.000000000,0.000000000,0.000000000,176.000000000,0.000000000,0.000000000,0.000000000,0,0,1,0,8,0,
44,8,1,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
45,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
46,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
47,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
48,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
49,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
50,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
51,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
52,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
53,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
54,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
55,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
56,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
57,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
58,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
59,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
60,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
61,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
62,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
63,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
64,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
65,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
66,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
67,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
68,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
69,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
70,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
71,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
72,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
73,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
74,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
75,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
76,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
77,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
78,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
79,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
80,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
81,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
82,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
83,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
84,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
85,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
86,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
87,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
88,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
89,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
90,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
91,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
92,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
93,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
94,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
95,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
96,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
97,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
98,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
99,8,0,........,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,
